City,UMI_Rank,UMR,Sustainability,Public_Transit,Lat,Long
Helsinki,1,70.9,72.6,71.6,60.192059,24.945831
Amsterdam,2,70.8,73,63.7,52.377956,4.897070
Stockholm,3,70.3,68,72.5,59.334591,18.063240
San Fransisco,4,70.1,53.6,61,37.773972,-122.431297
Munich,5,69.5,63.5,61.7,48.137154,11.576124
Singapore,6,69.5,59.5,73.9,1.29027,103.851959
Zurich,7,69.1,59.9,74,47.373878,8.545094
Paris,8,68.9,57.6,58.2,48.864716,2.349014
Copenhagen,9,68.4,72.8,73.1,55.676098,12.568337
Berlin,10,68,59.1,65.8,52.520008,13.404954
London,11,68,58.2,63.4,51.509865,-0.118092
New York,12,65.9,51.4,61.6,40.73061,-73.935242
Seoul,13,64.9,55.8,62.9,37.5326,127.024612
Oslo,14,64.9,76.8,67,59.911491,10.757933
Hong Kong,15,64.3,64.9,76.4,22.302711,114.177216
Tokyo,16,64.2,55.9,64.8,35.652832,139.839478
"Washington, D.C",17,63.8,53.8,57,38.889816,-77.008339
Chicago,18,63.7,45.9,61.8,41.881832,-87.623177
Boston,19,63.4,50.9,52.2,42.361145,-71.057083
Madrid,20,62.7,55,56,40.416775,-3.703790
Vancouver,21,62.6,55.8,57.4,49.246292,-123.116226
Sydney,22,61.8,48,62.3,-33.865143,151.209900
Los Angeles,23,51.5,45.7,48.4,34.052235,-118.243683
Barcelona,24,61.4,54.7,59.1,41.390205,2.154007
Toronto,25,60.7,51.5,49.6,43.65107,-79.347015
Montreal,26,60.2,53.7,51.5,45.508888,-73.561668
Atlanta,27,59.1,41.9,48.1,33.753746,-84.386330
Dubai,28,57.8,38.2,53.9,25.276987,55.296249
Melbourne,29,57.8,38.4,55.5,-37.840935,144.946457
Beijing,30,56.9,55.6,54.2,39.916668,116.383331
Houston,31,56.9,40.2,47.1,29.749907,-95.358421
Shanghai,32,56.2,56.7,56.9,31.224361,121.469170
Milan,33,56.1,46.2,60.3,45.464664,9.188540
Dublin,34,55.5,56.6,52.5,53.35014,-6.266155
Dallas,35,55.3,38.9,46.6,32.779167,-96.808891
Warsaw,36,54.7,45.6,60.9,52.237049,21.017532
Istanbul,37,53.6,44.7,56.5,41.015137,28.979530
Abu Dhabi,38,52.4,35.4,37.2,24.466667,54.366669
Moscow,39,52.2,46.8,59.9,55.751244,37.618423
Rome,40,49,42.4,41.8,41.902782,12.496366
Doha,41,48.1,30,47,25.286106,51.534817
Kuala Lumpur,42,44.9,32.3,58.4,3.140853,101.693207
Santiago,43,43.9,38.9,47.2,-33.447487,-70.673676
Buenos Aires,44,43.6,40.7,53.8,-34.603722,-58.381592
Bangkok,45,43,35.3,47.5,13.736717,100.523186
Sao Paulo,46,40.3,40.2,43.1,-23.533773,-46.625290
Cape Town,47,40.2,38.2,33.1,-33.918861,18.423300
Jeddah,48,39.5,26.4,28.1,21.4925,39.177570
Jakarta,49,39.1,30.9,48.6,-6.2,106.816666
Mexico City,50,39,38.3,38.6,19.451054,-99.125519
Johannesburg,51,38.7,31.4,34.8,-26.195246,28.034088
Rio de Janeiro,52,38.3,35.1,47.9,-22.908333,-43.196388
Riyadh,53,38.1,26.8,26.4,24.774265,46.738586
Delhi,54,37.7,33.9,48,28.6448,77.216721
Mumbai,55,36.1,29.9,43.5,19.07609,72.877426
Cairo,56,35.9,31.2,40.8,30.033333,31.233334
Bogota,57,35.5,40.7,38.1,4.624335,-74.063644
Monterrey,58,34.9,33.7,32.3,25.686613,-100.316116
Casablanca,59,34.2,37,33.9,33.589886,-7.603869
Manila,60,32.8,33.9,32.3,14.599512,120.984222
Quito,61,32.8,40.4,39.9,-0.180653,-78.467834
Lima,62,32.3,31.4,35.3,-12.046374,-77.042793
Manama,63,29.6,22.8,16.1,26.244846,50.586586
Nairobi,64,26,28.5,26.5,-1.286389,36.817223
Lagos,65,23.7,22.5,35.4,6.465422,3.406448
